       actor_loss  value_loss  advantages
199           7.2      2755.7       -49.7
200           1.1      2629.5       -48.7
201           2.5      2676.2       -49.0
202           0.6      2349.2       -46.4
203           4.8      2416.5       -45.8
204           7.8      2539.7       -47.1
205           0.5      2032.4       -42.3
206           0.4      2263.2       -44.3
207           2.9      2597.6       -48.8
208           0.9      2544.2       -47.7
209           1.5      2049.6       -43.0
210          14.9      2361.3       -46.2
211           1.7      2474.3       -46.5
212           1.5      2272.8       -45.1
213           1.4      2377.1       -45.7
214           0.3      2017.5       -42.4
215           0.9      2097.3       -43.2
216           0.8      2349.6       -45.0
217           0.9      2143.1       -43.0
218           0.5      2138.6       -43.2
219           2.2      1941.5       -40.3
220           0.5      1810.9       -39.2
221           0.8      1899.4       -41.3
222           0.6      1840.9       -40.2
223           1.2      2318.8       -45.5
224           0.5      2247.0       -45.1
225           2.5      1964.8       -41.2
226           1.6      1823.7       -40.4
227           2.8      1588.1       -35.7
228           1.2      2260.9       -44.3
229           0.3      2232.9       -44.4
230           1.2      1919.5       -40.6
231           0.6      1769.1       -37.5
232           3.8      1897.0       -41.0
233           0.3      1588.1       -36.2
234           1.0      1715.1       -38.0
235           0.4      1683.5       -37.7
236           1.1      1629.8       -36.6
237           1.4      1826.7       -40.3
238           0.6      1586.9       -36.3
239           1.2      1556.0       -36.2
240           1.7      1610.3       -36.1
241           0.4      1794.3       -40.1
242          18.6      1386.2       -33.9
243           6.5      1413.0       -34.0
244           1.1      1638.5       -36.8
245          10.1      1596.7       -37.3
246           0.7      1427.6       -33.8
247           2.9      1867.4       -39.5
248           0.8      1405.4       -34.6
249           1.1      1350.7       -34.5
250           1.7      1613.2       -38.0
251           0.8      1442.7       -33.5
252          10.0      1330.8       -33.6
253           1.1      1472.8       -35.9
254           0.4      1605.8       -35.4
255           0.2      1246.9       -30.4
256           2.9      1503.8       -34.9
257           0.6      1276.8       -31.3
258           0.3      1229.8       -31.9
259           0.7      1321.6       -33.3
260           0.6      1600.7       -37.4
261          10.2      1269.7       -32.3
262           0.5      1077.1       -31.2
263           0.6      1187.6       -30.5
264           2.6      1013.4       -28.6
265           2.8      1082.8       -28.9
266           1.3      1297.9       -31.8
267           0.9      1209.4       -31.3
268           2.0      1045.4       -28.1
269           0.8      1082.0       -29.6
270           0.5      1137.1       -30.6
271           0.4      1015.2       -27.4
